year,name,rate
2005,石油储量(万吨),248972.1
2005,天然气储量(亿立方米),28185.4
2005,煤炭储量(亿吨),3326.4
2005,铁矿储量(亿吨),216
2005,锰矿储量(万吨),21539.9
2005,铬矿储量(万吨),521
2005,钒矿储量(万吨),1323.5
2005,原生钛铁矿储量(万吨),21410.4
2005,铜矿储量(万吨),2856.4
2005,铅矿储量(万吨),1393.4
2005,锌矿储量(万吨),4269.1
2005,铝土矿储量(万吨),73057.8
2005,镍矿储量(万吨),270.7
2005,钨矿储量(万吨),260.5
2005,锡矿储量(万吨),155.5
2005,钼矿储量(万吨),363.4
2005,锑矿储量(万吨),95.3
2005,金矿储量(吨),1956.6
2005,银矿储量(吨),59791
2005,稀土矿储量(万吨),1968.5
2005,菱镁矿储量(万吨),173831.3
2005,普通萤石储量(万吨),2536.8
2005,硫铁矿储量(万吨),190328.2
2005,磷矿储量(亿吨),37
2005,钾盐储量(万吨),28891.6
2005,盐矿储量(亿吨),1816.6
2005,芒硝储量(亿吨),64.3
2005,重晶石储量(万吨),9677.1
2005,玻璃硅质原料储量(万吨),138177.6
2005,石墨储量(万吨),3881.7
2005,滑石储量(万吨),10995.2
2005,高岭土储量(万吨),60225.9
2006,石油储量(万吨),275856.8
2006,天然气储量(亿立方米),30009.2
2006,煤炭储量(亿吨),3334.8
2006,铁矿储量(亿吨),220.9
2006,锰矿储量(万吨),22855.8
2006,铬矿储量(万吨),521.4
2006,钒矿储量(万吨),1404.4
2006,原生钛铁矿储量(万吨),21379.5
2006,铜矿储量(万吨),3069.9
2006,铅矿储量(万吨),1351.4
2006,锌矿储量(万吨),4227.1
2006,铝土矿储量(万吨),74167
2006,镍矿储量(万吨),272.7
2006,钨矿储量(万吨),241.4
2006,锡矿储量(万吨),153.5
2006,钼矿储量(万吨),381
2006,锑矿储量(万吨),95
2006,金矿储量(吨),1995
2006,银矿储量(吨),45277
2006,稀土矿储量(万吨),1905.9
2006,菱镁矿储量(万吨),189714.1
2006,普通萤石储量(万吨),3477.4
2006,硫铁矿储量(万吨),184900.5
2006,磷矿储量(亿吨),37
2006,钾盐储量(万吨),27314.9
2006,盐矿储量(亿吨),1833
2006,芒硝储量(亿吨),98.1
2006,重晶石储量(万吨),9838.6
2006,玻璃硅质原料储量(万吨),139865.3
2006,石墨储量(万吨),5394.9
2006,滑石储量(万吨),11706.3
2006,高岭土储量(万吨),63567.7
2007,石油储量(万吨),283253.8
2007,天然气储量(亿立方米),32123.6
2007,煤炭储量(亿吨),3261.3
2007,铁矿储量(亿吨),223.6
2007,锰矿储量(万吨),22443.7
2007,铬矿储量(万吨),582.2
2007,钒矿储量(万吨),1309.4
2007,原生钛铁矿储量(万吨),22541.9
2007,铜矿储量(万吨),2932.1
2007,铅矿储量(万吨),1345.9
2007,锌矿储量(万吨),4250.3
2007,铝土矿储量(万吨),75072.7
2007,镍矿储量(万吨),299.2
2007,钨矿储量(万吨),240.9
2007,锡矿储量(万吨),152.3
2007,钼矿储量(万吨),431.7
2007,锑矿储量(万吨),95
2007,金矿储量(吨),1859.7
2007,银矿储量(吨),43942
2007,稀土矿储量(万吨),1837.1
2007,菱镁矿储量(万吨),193161
2007,普通萤石储量(万吨),3401.5
2007,硫铁矿储量(万吨),179411.3
2007,磷矿储量(亿吨),36.7
2007,钾盐储量(万吨),33752
2007,盐矿储量(亿吨),1880.1
2007,芒硝储量(亿吨),100.3
2007,重晶石储量(万吨),9899.9
2007,玻璃硅质原料储量(万吨),141047.5
2007,石墨储量(万吨),5480.6
2007,滑石储量(万吨),11834.3
2007,高岭土储量(万吨),65261.9
2008,石油储量(万吨),289043
2008,天然气储量(亿立方米),34049.6
2008,煤炭储量(亿吨),3261.4
2008,铁矿储量(亿吨),226.4
2008,锰矿储量(万吨),23439.5
2008,铬矿储量(万吨),577.1
2008,钒矿储量(万吨),1276.6
2008,原生钛铁矿储量(万吨),23294.5
2008,铜矿储量(万吨),2891
2008,铅矿储量(万吨),1359.6
2008,锌矿储量(万吨),4281.7
2008,铝土矿储量(万吨),73514
2008,镍矿储量(万吨),286.6
2008,钨矿储量(万吨),235.1
2008,锡矿储量(万吨),146
2008,钼矿储量(万吨),435.5
2008,锑矿储量(万吨),74.3
2008,金矿储量(吨),1868.4
2008,银矿储量(吨),40531
2008,稀土矿储量(万吨),1773.2
2008,菱镁矿储量(万吨),191951.9
2008,普通萤石储量(万吨),4464.8
2008,硫铁矿储量(万吨),177189.6
2008,磷矿储量(亿吨),35.6
2008,钾盐储量(万吨),36367.7
2008,盐矿储量(亿吨),1734.3
2008,芒硝储量(亿吨),90.4
2008,重晶石储量(万吨),9658.8
2008,玻璃硅质原料储量(万吨),143841.4
2008,石墨储量(万吨),5748.9
2008,滑石储量(万吨),12119
2008,高岭土储量(万吨),64186.4
2009,石油储量(万吨),294919.8
2009,天然气储量(亿立方米),37074.2
2009,煤炭储量(亿吨),3189.6
2009,铁矿储量(亿吨),213
2009,锰矿储量(万吨),18576.6
2009,铬矿储量(万吨),522.5
2009,钒矿储量(万吨),1258.9
2009,原生钛铁矿储量(万吨),23291.4
2009,铜矿储量(万吨),2951
2009,铅矿储量(万吨),1340.1
2009,锌矿储量(万吨),3838.5
2009,铝土矿储量(万吨),83923.9
2009,镍矿储量(万吨),281.8
2009,钨矿储量(万吨),228.7
2009,锡矿储量(万吨),143.5
2009,钼矿储量(万吨),444.8
2009,锑矿储量(万吨),76.5
2009,金矿储量(吨),1909.7
2009,银矿储量(吨),38448.5
2009,稀土矿储量(万吨),1859.1
2009,菱镁矿储量(万吨),207981.8
